Civilité;Prenom;Nom;Societe;Site;Departement;Service;fonction;Manager-Prenom;Manager-Nom;Nom de PC;Marque PC;Date de naissance;Telephone fixe;Telephone portable
Mme;Elina;Öztürk;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Administration du personnel;Gestionnaire RH;Soraya;Kimura;PA66767;HP;05/05/1995  ;0571932738;0704830876
M.;Hamza;Rahman;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Administration du personnel;Gestionnaire RH;Soraya;Kimura;PA66770;HP;18/10/1992;0573127804;0657183793
Mme;Jana;Liu;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Administration du personnel;Agent RH;Soraya;Kimura;PA31784;HP;31/10/1990  ;0573146845;0714509230
M.;Kai;Sato;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Administration du personnel;Agent RH;Soraya;Kimura;PA66766;HP;10/05/1992  ;0542630364;0795438585
M.;Kaïs;Benzema;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Administration du personnel;Gestionnaire RH;Soraya;Kimura;PA66768;HP;21/10/1992  ;0540844892;0677725372
M.;Karim;Farouk;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Administration du personnel;Gestionnaire RH;Soraya;Kimura;PA66772;HP;16/12/1999;0573296069;0685096131
Mme;Leonie;Zhou;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Administration du personnel;Agent RH;Soraya;Kimura;PA66775;HP;12/06/1985;0591787483;0716814826
Mme;Priya;Dobrev;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Administration du personnel;Agent RH;Soraya;Kimura;PA66773;HP;28/02/1982;0550011176;0686104109
Mme;Soraya;Moreno;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Administration du personnel;Gestionnaire RH;Soraya;Kimura;PA66769;HP;28/11/1986  ;0590371530;0648800103
M.;Zakaria;Ben Youssef;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Administration du personnel;Agent RH;Soraya;Kimura;PA66774;HP;12/10/2001;0582915286;0678031519
M.;Adil;Abbassi;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Formation;Formateur;Kais;Novak;PA66782;HP;24/12/1996;0575320119;0751539352
Mme;Chiara;Dupuis;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Formation;Formateur;Kais;Novak;PA66780;HP;22/11/1982;0503588319;0765413509
M.;Houssem;Benali;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Formation;Formateur;Kais;Novak;PA66781;HP;07/11/1986;0512799110;0707038865
Mme;Layla;Benzema;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Formation;Formateur;Kais;Novak;PA66778;HP;03/12/1987;0556135451;0651152927
Mme;Samira;Popescu;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Formation;Formateur;Kais;Novak;PA66783;HP;30/11/1992;0538625196;0691508249
M.;Tahar;Sow;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Formation;Formateur;Kais;Novak;PA66779;HP;17/10/1994;0594001842;0759206365
Mme;Elina;Morales;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Gestion des carrières;Gestionnaire RH;Soraya;Kimura;PA66785;HP;13/03/1998;0528666160;0708351179
M.;Nizar;Takeda;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Gestion des carrières;Gestionnaire RH;Soraya;Kimura;PA66784;HP;15/08/2002;0516622163;0669972122
Mme;Anaya;Moretti;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Recrutement;Agent RH;Soraya;Kimura;PA20620;HP;31/12/1990;0501077762;0732279654
M.;Malik;Belhadj;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Recrutement;Agent RH;Soraya;Kimura;PA20619;HP;22/09/1995;0594297686;0621352100
Mme;Salma;Bianchi;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;Recrutement;Responsable recrutement;Soraya;Kimura;PA20618;HP;26/12/1980;0572612616;0739924357
M.;Kais;Novak;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;;Responsable formation;Rina;Nakamura;PA66777;HP;30/05/1984;0534680782;0771598712
Mme;Rina;Nakamura;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;;Directrice RH;Emir;Rizzo;PA66771;HP;29/05/1999;0556938175;0730315116
Mme;Soraya;Kimura;EcoTechSolutions;Bordeaux;Direction des Ressources Humaines;;Responsable du personnel;Rina;Nakamura;PA66776;HP;18/02/1999;0592787328;0625405176
M.;Farid;Ben Salah;EcoTechSolutions;Bordeaux;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;PA85786;DELL;28/06/1983;0516225557;0746775406
Mme;Greta;Petrov;EcoTechSolutions;Bordeaux;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;PA85789;DELL;25/02/1978;0531837319;0735316654
M.;Ismael;Lemoine;EcoTechSolutions;Bordeaux;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;PA85788;DELL;03/01/1994;0584729052;0631737551
Mme;Lucia;Morel;EcoTechSolutions;Bordeaux;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;PA85791;DELL;20/11/1989;0568154898;0788663439
M.;Marwan;Leclerc;EcoTechSolutions;Bordeaux;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;PA21577;DELL;23/06/2000;0568494478;0681633586
M.;Mateo;Zhang;EcoTechSolutions;Bordeaux;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;PA76820;DELL;11/05/2000;0546085050;0711400236
M.;Mohamed;Rahmani;EcoTechSolutions;Bordeaux;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;PA85790;DELL;04/04/1987;0560330839;0721435052
Mme;Yara;Tsai;EcoTechSolutions;Bordeaux;DSI;;Responsable SI;Emir;Rizzo;PA85785;DELL;20/04/1979;0535787382;0752825712
Mme;Yumi;Kobayashi;EcoTechSolutions;Bordeaux;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;PA85787;DELL;08/08/1980;0501455119;0793589664
Mme;Akiko;Fischer;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Finance;Controleur de gestion;Liam;Rodriguez;PA68868;TOSHIBA;06/04/1995;0544775759;0699366267
M.;Alexis;Fischer;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Finance;Controleur de gestion;Liam;Rodriguez;PA57512;HP;21/10/1988;0565445166;0601851451
Mme;Amara;Silva;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Finance;Controleur de gestion;Liam;Rodriguez;PA12959;TOSHIBA;15/08/1994;0515426783;0704921208
M.;Bilal;Mendoza;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Finance;Controleur de gestion;Liam;Rodriguez;PA68869;HP;07/07/1980;0522682861;0766790688
M.;Dario;Kim;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Finance;Analyste financier;Liam;Rodriguez;PA34551;TOSHIBA;04/12/1997;0552308696;0623126253
M.;Mounir;Mohamed;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Finance;Controleur de gestion;Liam;Rodriguez;PA68871;HP;07/02/1986;0513232544;0603358884
Mme;Nora;Abe;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Finance;Analyste financier;Liam;Rodriguez;PA68870;TOSHIBA;11/05/1992;0542264569;0629515805
Mme;Chloé;Sato;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Fiscalité;Controleur de gestion;Liam;Rodriguez;PA31321;DELL;24/05/1998;0582377361;0752459822
Mme;Elif;Andersen;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Fiscalité;Conseiller en fiscalité;Liam;Rodriguez;PA31320;LENOVO;21/08/2001;0552752241;0689516690
Mme;Dahlia;Ivanov;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Service Comptabilité;Comptable;Liam;Rodriguez;PA68449;HP;09/11/1994;0509385561;0692850242
M.;Iker;Yilmaz;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Service Comptabilité;Comptable;Liam;Rodriguez;PA68447;LENOVO;25/09/1998;0591246045;0709020328
Mme;Mila;Pereira;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Service Comptabilité;Comptable;Liam;Rodriguez;PA30790;HP;30/03/1978;0548040421;0732286675
M.;Rami;Velásquez;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Service Comptabilité;Comptable;Liam;Rodriguez;PA68448;TOSHIBA;06/11/1988;0541979438;0659020328
Mme;Tara;Costa;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Service Comptabilité;Comptable;Liam;Rodriguez;PA56314;DELL;13/06/1995;0539056813;0739772240
M.;Tariq;Karam;EcoTechSolutions;Bordeaux;Finance et Comptabilité;Service Comptabilité;Comptable;Liam;Rodriguez;PA68450;DELL;17/11/1989;0542877605;0752086648
M.;Liam;Rodriguez;EcoTechSolutions;Bordeaux;Finance et Comptabilité;;Directeur financier;Emir;Rizzo;PA68867;HP;27/08/1997;0550830661;0614139549
Mme;Aria;Ekström;EcoTechSolutions;Bordeaux;Service Commercial;ADV;Gestionnaire ADV;Amir;Gómez;PA46917;DELL;25/05/1998;0540987654;0739063477  
M.;David;Johansson;EcoTechSolutions;Bordeaux;Service Commercial;ADV;Gestionnaire ADV;Amir;Gómez;PA16353;DELL;23/03/2000;0512345678;0763236659  
M.;Marco;Nikoli?;EcoTechSolutions;Bordeaux;Service Commercial;ADV;Gestionnaire ADV;Amir;Gómez;PA37602;DELL;20/04/1983;0576543210;0606722898  
Mme;Tina;Demir;EcoTechSolutions;Bordeaux;Service Commercial;ADV;Gestionnaire ADV;Amir;Gómez;PA64810;DELL;01/07/1981;0587654321;0621673896  
Mme;Alba;Gonzalez;EcoTechSolutions;Bordeaux;Service Commercial;B2B;Commercial;Ayoub;Ochoa;PA90180;DELL;23/09/1994  ;0510208105;0724597846
Mme;Gita;Hassania;EcoTechSolutions;Bordeaux;Service Commercial;B2B;Commercial;Ayoub;Ochoa;PA82880;DELL;18/08/1991  ;0534567890;0655939808  
M.;Gôrreck;Khan;EcoTechSolutions;Bordeaux;Service Commercial;B2B;Commercial;Ayoub;Ochoa;PA90176;DELL;23/02/1987  ;0510987654;0799413599  
M.;Houssem;Carvalho;EcoTechSolutions;Bordeaux;Service Commercial;B2B;Commercial;Ayoub;Ochoa;PA90179;DELL;25/01/1985  ;0563881444;0634420250
M.;Idriss;Cherif;EcoTechSolutions;Bordeaux;Service Commercial;B2B;Commercial;Ayoub;Ochoa;PA90181;DELL;26/08/1988  ;0520113372;0629709697
Mme;Lina;Singh;EcoTechSolutions;Bordeaux;Service Commercial;B2B;Commercial;Ayoub;Ochoa;PA90178;DELL;30/03/1991  ;0594065083;0764670482
Mme;Nina;Schaefer;EcoTechSolutions;Bordeaux;Service Commercial;B2B;Commercial;Ayoub;Ochoa;PA12427;DELL;15/04/1992;0510987654;0662152312  
M.;Rami;Meier;EcoTechSolutions;Bordeaux;Service Commercial;B2B;Commercial;Ayoub;Ochoa;PA44614;DELL;14/12/1998;0510987654;0703432899  
M.;Sami;Al-Khalil;EcoTechSolutions;Bordeaux;Service Commercial;B2B;Commercial;Ayoub;Ochoa;PA90177;DELL;29/04/1999  ;0549018694;0730998954
Mme;Ariana;Vega;EcoTechSolutions;Bordeaux;Service Commercial;Gestion des comptes;Account Manager Monde;Ayoub;Ochoa;PA90188;DELL;29/04/1983;0524740243;0649047451
Mme;Chiara;Ramos;EcoTechSolutions;Bordeaux;Service Commercial;Gestion des comptes;Account Manager sud;Ayoub;Ochoa;PA90184;DELL;10/11/1993;0571105344;0668450637
M.;Fouad;Bensalem;EcoTechSolutions;Bordeaux;Service Commercial;Gestion des comptes;Account Manager Monde;Ayoub;Ochoa;PA90187;DELL;17/06/1995;0508916093;0609530569
Mme;Gisèle;Klein;EcoTechSolutions;Bordeaux;Service Commercial;Gestion des comptes;Account Manager IDF;Ayoub;Ochoa;PA90186;DELL;02/08/1995;0583375939;0637894461
M.;Jawad;Mekki;EcoTechSolutions;Bordeaux;Service Commercial;Gestion des comptes;Account Manager Ouest;Ayoub;Ochoa;PA90185;DELL;22/10/1993;0554680160;0742750565
Mme;Maya;Santiago;EcoTechSolutions;Bordeaux;Service Commercial;Gestion des comptes;Account Manager Monde;Ayoub;Ochoa;PA90190;DELL;09/02/1985;0556762501;0649958233
M.;Selim;Boukhalfa;EcoTechSolutions;Bordeaux;Service Commercial;Gestion des comptes;Account Manager Monde;Ayoub;Ochoa;PA90189;DELL;04/11/1989;0552256735;0614423881
Mme;Sofia;Lombardi;EcoTechSolutions;Bordeaux;Service Commercial;Gestion des comptes;Account Manager Nord;Ayoub;Ochoa;PA90182;DELL;12/05/1997;0561846179;0605815816
M.;Zakariya;Aït-Saïd;EcoTechSolutions;Bordeaux;Service Commercial;Gestion des comptes;Account Manager Est;Ayoub;Ochoa;PA90183;DELL;17/12/1995;0533423039;0705781575
Mme;Célia;Hamadi;EcoTechSolutions;Bordeaux;Service Commercial;Prospection;Commercial;Youssef;Berisha;PA90192;DELL;28/01/1995;0513678895;0705824555
Mme;Daria;Stefanovi?;EcoTechSolutions;Bordeaux;Service Commercial;Prospection;Commercial;Youssef;Berisha;PA90195;DELL;25/11/1986;0537148414;0726059828
Mme;Helena;Pereira;EcoTechSolutions;Bordeaux;Service Commercial;Prospection;Commercial;Youssef;Berisha;PA90197;DELL;26/03/1991;0525175566;0693330248
M.;Imran;Rashid;EcoTechSolutions;Bordeaux;Service Commercial;Prospection;Commercial;Youssef;Berisha;PA90196;DELL;17/09/1986;0514492400;0745970274
M.;Kais;Levi;EcoTechSolutions;Bordeaux;Service Commercial;Prospection;Commercial;Youssef;Berisha;PA90193;DELL;20/10/2000;0512674108;0673103843
Mme;Marina;Martinez;EcoTechSolutions;Bordeaux;Service Commercial;Prospection;Commercial;Youssef;Berisha;PA90201;DELL;28/02/2002;0588754164;0618221826
M.;Nabil;Touil;EcoTechSolutions;Bordeaux;Service Commercial;Prospection;Commercial;Youssef;Berisha;PA90198;DELL;18/01/1986;0515833125;0624943897
Mme;Olga;Dimitrova;EcoTechSolutions;Bordeaux;Service Commercial;Prospection;Commercial;Youssef;Berisha;PA90199;DELL;03/03/2002;0539874714;0721677265
Mme;Sana;Rahman;EcoTechSolutions;Bordeaux;Service Commercial;Prospection;Commercial;Youssef;Berisha;PA90191;DELL;25/10/1983;0582805437;0685015790
M.;Sofiane;Jaziri;EcoTechSolutions;Bordeaux;Service Commercial;Prospection;Commercial;Youssef;Berisha;PA90200;DELL;29/12/1991;0516613916;0620852808
M.;Wassim;Qureshi;EcoTechSolutions;Bordeaux;Service Commercial;Prospection;Commercial;Youssef;Berisha;PA90194;DELL;03/11/1997;0580240361;0725285124
Mme;Aya;Orozco;EcoTechSolutions;Bordeaux;Service Commercial;Service achat;Acheteur;Enzo;Morin;PA59874;DELL;05/04/1991;0585851944;0727746321
M.;Daan;Varela;EcoTechSolutions;Bordeaux;Service Commercial;Service achat;Acheteur;Enzo;Morin;PA16013;DELL;25/12/1985;0543934837;0797741075
Mme;Sasha;Kumar;EcoTechSolutions;Bordeaux;Service Commercial;Service Client;Agent;Enzo;Morin;PA79817;DELL;24/08/1983;0552451804;0628125914
M.;Val;Hernandez;EcoTechSolutions;Bordeaux;Service Commercial;Service Client;Agent;Enzo;Morin;PA39395;DELL;21/03/1994;0533085107;0747298724
M.;Amir;Gómez;EcoTechSolutions;Bordeaux;Service Commercial;;Responsable ADV;Lana;Wong;PA16564;DELL;21/07/1980;0512345678;0697336293  
M.;Ayoub;Ochoa;EcoTechSolutions;Bordeaux;Service Commercial;;Responsable commercial;Lana;Wong;PA79819;DELL;16/11/1999;0551977067;0768264631
M.;Enzo;Morin;EcoTechSolutions;Bordeaux;Service Commercial;;Responsable achat;Lana;Wong;PA19149;DELL;15/01/1996;0503707487;0697789045
Mme;Lana;Wong;EcoTechSolutions;Bordeaux;Service Commercial;;Directeur commercial;Emir;Rizzo;PA90233;TOSHIBA;09/01/1993;0586585331;0782262143
M.;Youssef;Berisha;EcoTechSolutions;Bordeaux;Service Commercial;;Responsable Prospection;Lana;Wong;PA79818;DELL;05/07/1980;0550972202;0606969819
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
